work_year,experience_level,salary_in_usd,job_category
2024,SE,310000,Machine Learning
2024,SE,310000,AI Research
2024,MI,310000,Data Scientist
2023,MI,310000,Data Scientist
2023,SE,310000,Software & Data Architecture
2023,SE,310000,AI Research
2023,SE,310000,Data Engineer
2023,EX,310000,Data Engineer
2023,EX,310000,Data Engineer
2023,EX,310000,Data Engineer
2023,EX,310000,Data Engineer
2023,SE,310000,Data Engineer
2022,EX,310000,Data Engineer
2022,EX,310000,Data Engineer
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2023,SE,309400,Research & Science
2024,SE,309000,Machine Learning
2024,SE,309000,Machine Learning
2024,SE,309000,Machine Learning
2023,SE,309000,Machine Learning
2023,SE,309000,Machine Learning
2023,SE,309000,Machine Learning
2023,SE,309000,Machine Learning
2023,SE,309000,Machine Learning
2024,MI,308000,Data Engineer
2023,SE,308000,AI Research
2023,SE,308000,Data Scientist
2023,SE,308000,Data Scientist
2023,SE,308000,AI Research
2024,SE,307100,Machine Learning
2023,SE,307100,Data Scientist
2023,SE,306000,Software & Data Architecture
2023,SE,306000,AI Research
2023,SE,306000,Software & Data Architecture
2023,SE,306000,Software & Data Architecture
2023,SE,306000,Software & Data Architecture
2023,SE,305600,Data Scientist
2023,SE,305600,Machine Learning
2023,SE,305600,Machine Learning
2023,SE,305600,Data Scientist
2023,SE,305100,AI Specialist
2023,SE,305000,Machine Learning
2023,SE,305000,Data Engineer
2024,SE,304750,Data Engineer
2024,SE,304750,Machine Learning
2023,SE,304750,Data Engineer
2023,SE,304200,Data Engineer
2023,SE,304000,Machine Learning
2024,SE,303400,Machine Learning
2024,SE,303400,Machine Learning
2024,SE,303400,Machine Learning
2024,SE,303050,Research & Science
2023,SE,303050,Research & Science
2023,SE,303050,Research & Science
2023,SE,303050,Research & Science
2024,SE,302840,Research & Science
2023,SE,302000,Software & Data Architecture
2023,SE,300240,Data Scientist
2023,SE,300240,Data Scientist
2023,SE,300105,Software & Data Architecture
2024,SE,300000,MLOps & Infrastructure
2024,SE,300000,Data Engineer
2024,MI,300000,Research & Science
2024,EN,300000,Research & Science
2024,EN,300000,Research & Science
2024,EN,300000,Research & Science
2024,SE,300000,Machine Learning
2024,SE,300000,Machine Learning
2024,SE,300000,Machine Learning
2024,SE,300000,Machine Learning
2024,SE,300000,Machine Learning
2023,SE,300000,AI Research
2023,SE,300000,Data Engineer
2023,SE,300000,Machine Learning
2023,SE,300000,Machine Learning
2023,SE,300000,Data Scientist
2023,SE,300000,Machine Learning
2023,SE,300000,Data Engineer
2023,MI,300000,Machine Learning
2023,SE,300000,Data Engineer
2023,SE,300000,Data Engineer
2023,MI,300000,AI Research
2023,MI,300000,AI Research
2023,MI,300000,Research & Science
2023,SE,300000,Data Scientist
2023,SE,300000,Data Engineer
2023,SE,300000,Research & Science
2023,SE,300000,Machine Learning
2023,MI,300000,Machine Learning
2023,MI,300000,Machine Learning
2023,SE,300000,Data Scientist
2023,SE,300000,Data Scientist
2023,SE,300000,Data Engineer
2023,SE,300000,Machine Learning
2020,EX,300000,Leadership & Management
2023,MI,300000,Machine Learning
2023,SE,300000,Data Engineer
2023,SE,300000,Data Engineer
2023,EX,300000,Data Scientist
2022,SE,300000,Data Engineer
2022,SE,300000,Research & Science
2022,SE,300000,Data Engineer
2022,SE,300000,Data Engineer
2022,SE,300000,Data Engineer
2022,SE,300000,Data Management
2024,SE,299792,Software & Data Architecture
2023,SE,299500,Data Management
2023,EX,299500,Data Scientist
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2023,SE,299500,Data Management
2022,SE,299500,Data Management
2023,SE,299000,Machine Learning
2022,EX,297500,Data Engineer
2023,SE,297300,Data Scientist
2023,SE,297300,Data Management
2023,SE,297300,Machine Learning
2023,SE,297300,Machine Learning
2023,SE,297300,Data Scientist
2023,SE,297300,Data Scientist
2023,SE,297300,Machine Learning
2023,SE,297300,Machine Learning
2023,SE,297300,Data Scientist
2023,SE,297300,Data Scientist
2023,SE,297300,Data Management
2023,SE,297300,Data Scientist
2024,SE,297000,Data Scientist
2024,SE,297000,Data Scientist
2024,SE,297000,Data Scientist
2023,SE,297000,Data Scientist
2023,SE,297000,Machine Learning
2024,SE,296980,Data Scientist
2023,MI,296980,Data Scientist
2024,SE,296400,Machine Learning
2023,SE,296400,Machine Learning
2023,SE,296400,Machine Learning
2023,SE,296400,Machine Learning
2024,SE,296100,Data Scientist
2023,SE,296100,Data Scientist
2023,EX,295500,Machine Learning
2024,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2023,SE,295490,Data Scientist
2024,MI,295000,AI Research
2024,MI,295000,AI Research
2024,SE,295000,Data Engineer
2024,MI,295000,AI Research
2024,MI,295000,AI Research
2024,MI,295000,Research & Science
